,year,month,three,four
0,1997,01,26,10
1,1997,02,26,11
2,1997,03,28,14
3,1997,04,29,19
4,1997,05,32,21
5,1997,06,32,23
6,1997,07,35,23
7,1997,08,37,25
8,1997,09,33,20
9,1997,10,32,19
10,1997,11,31,16
11,1997,12,27,12
12,1998,01,27,9
13,1998,02,27,9
14,1998,03,29,12
15,1998,04,33,19
16,1998,05,33,21
17,1998,06,33,22
18,1998,07,34,24
19,1998,08,35,25
20,1998,09,34,24
21,1998,10,33,21
22,1998,11,30,18
23,1998,12,28,14
24,1999,01,26,9
25,1999,02,28,12
26,1999,03,31,12
27,1999,04,32,18
28,1999,05,32,18
29,1999,06,35,25
30,1999,07,35,26
31,1999,08,36,24
32,1999,09,34,23
33,1999,10,33,20
34,1999,11,29,12
35,1999,12,24,5
36,2000,01,25,7
37,2000,02,25,8
38,2000,03,28,19
39,2000,04,29,19
40,2000,05,33,22
41,2000,06,34,22
42,2000,07,35,25
43,2000,08,35,25
44,2000,09,33,24
45,2000,10,33,19
46,2000,11,28,13
47,2000,12,26,11
48,2001,01,25,10
49,2001,02,27,10
50,2001,03,29,14
51,2001,04,33,15
52,2001,05,33,23
53,2001,06,35,24
54,2001,07,34,24
55,2001,08,35,25
56,2001,09,34,25
57,2001,10,33,21
58,2001,11,30,13
59,2001,12,29,8
60,2002,01,26,8
61,2002,02,26,9
62,2002,03,28,14
63,2002,04,33,17
64,2002,05,34,23
65,2002,06,35,24
66,2002,07,35,24
67,2002,08,35,24
68,2002,09,34,23
69,2002,10,31,18
70,2002,11,29,15
71,2002,12,29,6
72,2003,01,25,7
73,2003,02,27,12
74,2003,03,28,10
75,2003,04,32,19
76,2003,05,33,22
77,2003,06,34,24
78,2003,07,35,27
79,2003,08,35,25
80,2003,09,34,23
81,2003,10,32,20
82,2003,11,33,13
83,2003,12,27,10
84,2004,01,24,7
85,2004,02,26,7
86,2004,03,27,13
87,2004,04,32,18
88,2004,05,33,19
89,2004,06,36,25
90,2004,07,37,24
91,2004,08,36,25
92,2004,09,34,24
93,2004,10,32,20
94,2004,11,29,16
95,2004,12,27,7
96,2005,01,24,5
97,2005,02,26,8
98,2005,03,28,9
99,2005,04,30,14
100,2005,05,32,14
101,2005,06,34,19
102,2005,07,37,25
103,2005,08,34,24
104,2005,09,35,24
105,2005,10,34,20
106,2005,11,31,15
107,2005,12,26,10
108,2006,01,26,8
109,2006,02,26,10
110,2006,03,28,9
111,2006,04,33,15
112,2006,05,33,20
113,2006,06,35,23
114,2006,07,37,25
115,2006,08,34,25
116,2006,09,34,20
117,2006,10,32,23
118,2006,11,31,18
119,2006,12,29,12
